Year ,GrainC1,LeafC1,StemC1,RootC1,GrainC2,LeafC2,StemC2,RootC2,GrainC3,LeafC3,StemC3,RootC3,%SOC_10cm,%SOC_20cm,%SOC_30cm,%SOC_40cm,%SOC_50cm,kgSOC_10cm,kgSOC_20cm,kgSOC_30cm,kgSOC_40cm,kgSOC_50cm,IniSOC     ,End_SOC    ,dSOC       ,Net_GWP,CH4_flux_kgC/ha,N20_flux_kgN/ha,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2,Leach_C    ,Runoff_C   ,CH4,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3,Runoff_SON ,Leach_DON  ,N2O_flux,NO_flux    ,N2_flux,NH3_flux,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
1,2.32,1076.96,1076.96,861.99,0,0,0,0,0,0,0,0,0.0138,0.0071,0.0019,0.0005,0.0001,15926.5,8209.13,2162.92,575.65,188.46,26086.39,27062.66,976.27,-3312,0,0.6,797.18,30.5,479.04,93.01,423.34,0.04,0.05,0,2585.16,1.17,2608.11,6.84,28.62,0,0,22.5,26.06,22.61,31.57,0.08,0,0,0.55,0.01,0.86,6.47,4.76,1544.65,52.99,379.73,21.04,8.89,0,381.7,0.33,15.17,2,1.01,0.22,0.47,0,0.43,162.88,162.88,667.26,0
2,0.23,772.65,772.65,617.75,0,0,0,0,0,0,0,0,0.0138,0.0071,0.0019,0.0005,0.0001,15912.39,8170.44,2152.16,574.34,190.66,27062.67,27000,-62.67,522,0,0.6,340.35,63.22,629.62,191.22,1286.7,0.06,0.32,0,2608.11,6.84,2624.29,9,18.33,0,0,29.56,17.05,14.81,25.5,0.08,0,0,0.6,0.02,0.92,9.74,4.24,1536.11,42.57,314.43,0,9,0,363.2,0.07,16.16,2,1,0.13,0.48,0,0.03,86.9,86.9,889.76,0
3,2.11,531.22,531.22,425.08,0,0,0,0,0,0,0,0,0.0137,0.0071,0.0019,0.0005,0.0001,15731.48,8143.53,2141.38,570.06,190.66,27000,26777.11,-222.89,1187,0,0.8,7.5,64.38,570.89,242.1,1107.66,0.05,0.05,0,2624.29,9,2629.83,7.61,4.15,0,0,26.79,7.82,8.51,21.05,0.11,0,0,0.76,0.02,1.17,9.52,4.03,1528.71,34.95,233.35,0,1.49,0,334.8,0.07,16.35,2,1,0.1,0.55,0,0,0,0,906.63,0
4,3.63,1051.36,1051.36,842.13,0,0,0,0,0,0,0,0,0.0142,0.0071,0.0019,0.0005,0.0001,16299.06,8111.01,2130.05,567.73,189.92,26777.11,27297.77,520.66,-1524,0,0.8,639.87,79.39,508.98,265.43,972.72,0.17,0.12,0,2629.83,7.61,2648.51,6.6,17.68,0,0,23.87,27.36,20.12,35.01,0.06,0,0,0.79,0.02,1.21,8.79,3.27,1598.76,57.83,280.25,2.65,5.68,0,367.1,0.06,17.05,2,1,0.17,0.47,0,0.82,184.12,184.12,1245.94,0
5,0,610.23,610.23,488.19,0,0,0,0,0,0,0,0,0.0141,0.007,0.0018,0.0005,0.0001,16202.32,8082.62,2119.45,564.61,188.38,27297.77,27157.39,-140.38,724,0,0.4,100.18,94.05,670.83,290.97,1296.36,0.04,0,0,2648.51,6.6,2655.26,11.08,11.22,0,0,31.45,13.91,10.28,23.02,0.1,0,0,0.43,0.03,0.66,10.95,3.69,1650.88,37.82,239.46,0,0,0,320.6,0.06,17.48,2,1.01,0.1,0.53,0,0,21.49,21.49,1146.54,0
6,7.8,995.95,995.95,799.08,2.83,939.08,939.08,752.11,0,0,0,0,0.0156,0.007,0.0018,0.0005,0.0001,17980.67,8056.09,2115.72,566.92,194.95,27157.38,28914.35,1756.97,-5960,0,1,1930.46,133.16,494.85,393.62,1193.73,0.64,0.76,0,2655.26,11.08,2708.4,9.55,51.61,0,0,23.19,69.91,40.62,56.71,0.15,0.01,0,0.99,0.02,1.59,9.55,4.72,1385.23,92.71,303.53,12.45,25.61,0,522.3,0.09,12.99,2,1,0.15,0.51,0,3.1,461.57,461.57,1863.24,0
7,4.84,812.93,812.93,651.48,2.26,864.5,864.5,692.16,0,0,0,0,0.0161,0.007,0.0018,0.0005,0.0001,18575.93,8017.5,2106.68,566.52,197.17,28914.35,29463.81,549.46,-1396,0,1.3,1824.77,178.42,831.45,570.72,2853.35,0.11,2.45,0,2708.4,9.55,2769.14,8.43,59.63,0,0,38.94,72.24,33.59,52.06,0.22,0.02,0,1.27,0.03,1.94,12.06,3.79,1358.8,84.68,259.21,0,31,0,474.6,0.09,12.61,2,1.01,0.14,0.58,0,1.81,334.46,334.46,2085.01,0
8,0.92,1188.27,1188.27,949.21,0.77,1147.98,1147.98,917.06,0,0,0,0,0.0174,0.0069,0.0018,0.0005,0.0001,19962.11,7978.98,2093.52,560.41,193.48,29463.8,30788.51,1324.71,-4029,0,1.7,2497.46,200.1,779.75,619.18,2770.43,1.4,0,0,2769.14,8.43,2841.99,8.9,73.32,0,0,36.5,93.63,48.67,68.86,0.11,0,0,1.7,0.04,2.49,12.63,3.94,1409.36,111.45,294.47,18.93,0,0,483.6,29.31,14.3,2,1.01,0.19,0.49,0,0.47,582.88,582.88,2698.38,0
9,0,1221.05,1221.05,976.84,0,1073.43,1073.43,858.74,0,0,0,0,0.018,0.0069,0.0018,0.0005,0.0001,20689.02,7943.99,2083.29,557.87,193.75,30788.51,31467.92,679.41,-1561,0,1.9,2634.82,234.7,868.21,723.7,3778.41,1.85,1.73,0,2841.99,8.9,2918.33,10.1,77.53,0,0,40.63,101.5,46.83,69.49,0.18,0.04,0,1.91,0.06,2.71,14,3.28,1422.29,111.91,253.82,23,19.66,0,497.2,33.39,13.74,2,1,0.22,0.5,0,0,624.21,624.21,3068.55,0
10,1.31,1118.44,1118.44,894.95,0.24,914.86,914.86,731.92,0,0,0,0,0.0183,0.0069,0.0018,0.0005,0.0001,21051.29,7912.33,2072.42,553.69,188.72,31467.92,31778.46,310.53,381,0,3.1,2322.27,235.92,936.89,792.26,3976.78,0.08,0,-0.01,2918.33,10.1,2981.11,9.11,61.8,0,0,43.82,92.83,39.01,66.18,0.07,0,0,3.12,0.06,4.55,16.75,3.09,1744.98,106.05,208.94,0,0,0,292.2,0.07,18.66,2,1.01,0.21,0.49,0,0.44,486.91,486.91,3217.93,0
11,0,685.83,685.83,548.67,0,481.85,481.85,385.48,0,480.44,480.44,384.35,0.0186,0.0069,0.0018,0.0005,0.0001,21435.59,7884.49,2063.45,551.98,189.58,31778.46,32125.09,346.63,87,0,2.8,1759.8,271.46,815.1,752.05,3247.95,0.88,2.93,-0.03,2981.11,9.11,3026.87,11.94,48.59,0,0,38.11,81.21,32.7,51.39,0.73,0.14,0,2.79,0.06,3.84,17.87,3.39,1401.08,81.95,213.19,17.89,33,0,551.3,55.18,13.86,2,1.01,0.09,0.55,0,0,376.63,376.63,2814.91,0
12,0,1248.83,1248.83,999.06,0,1064.88,1064.88,851.91,0,1056.27,1056.27,845.02,0.0205,0.0068,0.0018,0.0005,0.0001,23615.47,7845.17,2053.32,549.19,189.18,32125.09,34252.32,2127.23,-5185,0,5.4,3764.64,270.56,800.9,885.63,3593.24,1.33,0,-0.03,3026.87,11.94,3117.61,10.53,89.33,0,0,37.43,137.17,70.33,98.52,0.53,0,0,5.37,0.08,7.62,16.97,4.37,1383.45,156.36,327.7,15.1,0,0,544.3,41.32,13.4,2,1.02,0.22,0.51,0,0,1000.89,1000.89,3811.24,0
13,0.04,1325.7,1325.7,1060.42,0.03,1120.65,1120.65,896.43,0.03,1113.6,1113.6,890.79,0.0219,0.0068,0.0018,0.0005,0.0001,25155.97,7801.78,2039.45,543.44,184.2,34252.32,35724.84,1472.53,-3098,0,4.7,4851.99,316.07,936.89,1074.65,5701.47,5.69,0,-0.1,3117.61,10.53,3235.58,19.77,127.22,0,0,43.76,172.87,74.31,103.9,0.42,0,0,4.73,0.11,6.4,17.22,3.23,1500.02,164.12,252.38,160.01,0,0,645,64.04,16.44,2,1,0.2,0.5,0,0.03,1124.86,1124.86,4656.65,0
14,0.11,948.06,948.06,758.38,0.01,753.55,753.55,602.84,0,745.99,745.99,596.79,0.0221,0.0067,0.0018,0.0005,0.0001,25369.85,7763.19,2030.98,544.35,189.09,35724.84,35897.47,172.63,1175,0,3.7,3894.87,357.18,936.89,1205.95,6222.27,0.13,0,-0.15,3235.58,19.77,3312.72,35.02,92.4,0,0,43.75,150.84,44.99,83.57,0.4,0,0,3.72,0.12,4.4,20.02,7.35,1611.57,131.39,261.83,0,0,0,337.5,0.05,16.93,2,1.01,0.17,0.56,0,0.03,615.07,615.07,4353.48,0
15,0,508.13,508.13,406.5,0,301.98,301.98,241.58,0,239.09,239.09,191.27,0.0209,0.0067,0.0018,0.0005,0.0001,24074.14,7738.44,2021.7,541.33,188.06,35897.46,34563.68,-1333.79,7798,0,6,1039.27,298.32,933.77,1005.62,4610.89,0.06,0,-0.19,3312.72,35.02,3322.89,36.52,11.66,0,0,43.58,64.06,14.89,45.01,0.41,0,0,5.98,0.12,7.85,22.32,11.19,1610.9,70.43,167.03,0,0,0,284.5,0.05,16.23,2,1.01,0.08,0.57,0,0,138,138,3308.07,0
16,4.04,819.74,819.74,656.16,4.03,552.03,552.03,442.08,4.03,540.14,540.14,432.57,0.0222,0.0067,0.0018,0.0005,0.0001,25526.45,7709.7,2013.02,537.2,183.95,34563.67,35970.32,1406.66,651,0,11.9,2597.13,304.32,596.45,819.82,2908.01,2.81,0.35,-0.11,3322.89,36.52,3373.71,12.52,26.82,0,0,27.83,108.24,47.51,62.14,0.55,0.02,0,11.93,0.11,17.02,21.19,3.34,1335.51,118.68,261.21,47.96,4,0,645.6,64.04,12.66,2,1.01,0.1,0.56,0,4.34,615.03,615.03,3341.28,0
17,0.1,827.31,827.31,661.79,0.01,581.1,581.1,464.88,0,611.87,611.87,489.5,0.0229,0.0067,0.0017,0.0005,0.0001,26339.65,7672.41,2005.42,536.53,185.84,35970.33,36739.86,769.53,-1336,0,3.1,3224.23,279.51,936.89,956.05,4627.22,0.11,0,-0.17,3373.71,12.52,3418.77,39.49,72.03,0,0,43.69,122.78,47.51,69.88,0.46,0,0,3.06,0.13,3.34,21.05,4.89,1618.39,134.31,269.81,0,0,0,337.5,0.06,17.12,2,1.01,0.15,0.56,0,0.08,565.73,565.73,3616.68,0
18,0,476.83,476.83,381.46,0,229.06,229.06,183.25,0,197.97,197.97,158.38,0.0219,0.0067,0.0017,0.0005,0.0001,25148.8,7650.63,1996.08,533.91,185.11,36739.86,35514.52,-1225.34,8194,0,7.6,1006.14,251.98,912.68,851.11,4247.39,0.05,0,-0.22,3418.77,39.49,3420.99,39.73,2.46,0,0,42.54,57.6,14.58,39.63,0.44,0,0,7.61,0.13,9.95,23.43,11.06,1611.46,71.16,162.27,0,0,0,287.8,0.06,15.99,2,1.01,0.08,0.56,0,0,137.25,137.25,2865.05,0
19,4.1,829.6,829.6,664.05,4.1,555.67,555.67,444.99,4.1,542.88,542.88,434.77,0.0232,0.0066,0.0017,0.0005,0.0001,26662.31,7623.33,1987.74,529.92,181.28,35514.52,36984.57,1470.05,1192,0,13.5,2685.15,275,595.76,732.99,2815.98,2.61,0.37,-0.14,3420.99,39.73,3470.17,13.02,22.47,0,0,27.76,107.1,47.42,63.12,0.56,0.02,0,13.52,0.12,19.17,22.08,3.04,1341.52,119.11,262.32,45.57,4.23,0,649.2,64.04,12.81,2,1.01,0.1,0.55,0,4.26,589.88,589.88,3104.41,0