Year ,GrainC1    ,LeafC1     ,StemC1     ,RootC1     ,GrainC2    ,LeafC2     ,StemC2     ,RootC2     ,GrainC3    ,LeafC3     ,StemC3     ,RootC3     ,%SOC_10cm,%SOC_20cm,%SOC_30cm,%SOC_40cm,%SOC_50cm,kgSOC_10cm,kgSOC_20cm,kgSOC_30cm,kgSOC_40cm,kgSOC_50cm,IniSOC     ,End_SOC    ,dSOC       ,kgShootLitterC_input,kgRootLitterC_input,kgManureC_input,kgRootExudation_DOC,kgSoil-CO2   ,kgLeach_C    ,kgRunoff_C   ,kgCH4        ,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,kgManure_N_input,kgLitter_N_input,N_fixation_kg,Crop_N_uptake_kg,Leach_NO3_kg,Runoff_SON ,Leach_DON  ,N2O_flux   ,NO_flux    ,N2_flux    ,NH3_flux   ,exchengeable-NH4,PET_mm        ,Transpiration_mm,Evaporation_mm,WaterLeach ,Runoff_mm,Precipitation_mm,DeepWater_mm,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain_kg,yr_end_leaf_kg,yr_end_stem_kg,yr_end_root_kg
1,1.47,1517.18,2334.12,7703.94,0,0,0,0,0,0,0,0,0.0151,0.0071,0.0019,0.0005,0.0001,17349.81,8219.06,2173.59,585.58,204.15,26086.39,28532.18,2445.79,1906.76,282.26,870.65,1091.95,1705.47,0.12,0.22,0,2585.16,1.17,2653.54,9.43,76.64,47.08,87.11,82.73,94.74,0.1,0,0,3.18,0.02,4.74,10.8,6.53,1543.68,182.03,252.05,3.45,8.49,381.7,0.06,15.17,2,1.01,0.06,0.44,0,0.34,293.67,451.8,5928.38
2,0.25,937.71,1442.63,4758.68,0,0,0,0,0,0,0,0,0.0151,0.0071,0.0019,0.0005,0.0001,17410.09,8171.69,2156.82,580.37,200.14,28532.18,28519.11,-13.08,937.43,540.55,821.48,1648.79,3960.69,0.11,0.55,0,2653.54,9.43,2701.26,11.81,50.1,38.58,90.32,49.03,62.29,0.06,0,0,0.64,0.03,0.97,10.57,6.12,1535.77,119.17,230.79,0,9,363.2,0.07,16.16,2,1,0.03,0.45,0,0.06,164.56,253.17,7307.67
3,7.48,586.6,902.46,2978.18,0,0,0,0,0,0,0,0,0.0149,0.0071,0.0019,0.0005,0.0001,17183.15,8136.94,2145.36,578.63,201.14,28519.11,28245.23,-273.88,226.2,514.14,727.78,1918.63,3660.44,0.1,0.1,0,2701.26,11.81,2726.07,8.61,21.62,34.16,67.14,28.65,43.15,0.13,0,0,1.07,0.03,1.62,11.68,4.6,1528.55,82.22,210.06,0,1.49,334.8,0.07,16.35,2,1,0.02,0.51,0,0.9,46.51,71.55,7026.38
4,3.19,876.72,1348.8,4455.63,0,0,0,0,0,0,0,0,0.0155,0.007,0.0019,0.0005,0.0001,17861.74,8102.19,2135.95,574.24,197.7,28245.23,28871.82,626.59,702.67,555.27,885.93,1864.61,3381.49,0.12,0.28,0,2726.07,8.61,2763.72,7.53,36.57,47.77,85.37,42.77,64.68,0.14,0.02,0,3.02,0.05,4.46,13.42,3.67,1598.68,122.72,173.2,0,5.68,367.1,0.07,17.05,2,1,0.02,0.52,0,0.76,161.95,249.15,7965.31
5,0,606.59,933.22,3079.63,0,0,0,0,0,0,0,0,0.0156,0.007,0.0018,0.0005,0.0001,17957.88,8072.33,2123.93,570.59,195.39,28871.82,28920.12,48.3,340.84,599.3,672.6,1852.69,3417.08,0.07,0,0,2763.72,7.53,2780.85,14.56,24.16,31.55,80.36,29.81,43.99,0.13,0,0,0.8,0.04,1.2,12.42,4.93,1650.69,83.14,197.2,0,0,320.6,0.07,17.48,2,1.01,0.02,0.52,0,0,63.28,97.35,7301.09
6,12.74,1015.95,1563,5176.86,3.01,732.26,1126.56,3722.14,0,0,0,0,0.0175,0.007,0.0018,0.0005,0.0001,20182.6,8049.43,2123.89,575.7,206.21,28920.12,31137.83,2217.71,2296.2,818.55,570.22,2521.88,3987.6,0.2,1.36,0,2780.85,14.56,2855.92,11.42,71.93,26.74,161.16,93.48,112.47,0.11,0.02,0,1.68,0.03,2.58,12.05,5.85,1384.93,211.7,183.28,0,25.61,522.3,0.07,12.99,2,1,0.03,0.52,0,4.67,426.96,656.87,11070.91
7,9.5,674.94,1038.37,3437.68,4.44,440.96,678.4,2243.84,0,0,0,0,0.0178,0.007,0.0018,0.0005,0.0001,20435.48,8010.23,2112.88,574.13,208.56,31137.83,31341.27,203.44,1616.2,983.76,845.25,3148.17,6386.65,0.15,3.16,-0.01,2855.92,11.42,2923.95,9.22,65.82,39.62,161.48,56.9,76.92,0.19,0.03,0,2.19,0.05,3.26,12.81,4.11,1358.78,144.2,192.49,0,31,474.6,0.07,12.61,2,1.01,0.02,0.55,0,3.32,194.27,298.87,10569.8
8,0.26,1145.84,1762.83,5815.57,0.02,838.09,1289.37,4253.97,0,0,0,0,0.0195,0.0069,0.0018,0.0005,0.0001,22462.66,7974.58,2101.89,569.22,201.9,31341.27,33310.25,1968.98,2655.44,1034.81,1058.57,3257.36,6037.05,0.21,0,-0.02,2923.95,9.22,3020.47,9.81,97.12,55.82,196.61,104.8,130.4,0.12,0,0,5.06,0.06,7.3,16.58,4.49,1409.13,243.49,165.33,0,0,483.6,0.07,14.3,2,1.01,0.04,0.5,0,0.08,501.08,770.89,14158.67
9,0,1240.96,1909.17,6300.27,0,896.55,1379.31,4551.71,0,0,0,0,0.0207,0.0069,0.0018,0.0005,0.0001,23837.35,7941.82,2095.99,567.83,202.62,33310.25,34645.6,1335.35,3259.08,1266.77,864.74,3947.66,8000.5,0.23,2.26,-0.08,3020.47,9.81,3131.28,10.95,111.95,40.51,240.82,114.49,135.8,0.22,0.05,0,3.29,0.07,4.57,15.41,3.26,1421.94,252.59,134.64,0,19.66,497.2,0.07,13.74,2,1,0.03,0.5,0,0,620.25,954.23,17100.67
10,2.5,627.52,965.42,3187.75,1.13,352.02,541.56,1788.01,0,0,0,0,0.0201,0.0069,0.0018,0.0005,0.0001,23175.51,7912.07,2083,560.47,194.03,34645.6,33925.07,-720.53,1599.92,1181.97,911.8,3919.79,8334.1,0.07,0,-0.16,3131.28,10.95,3187.5,11.46,56.73,42.69,184.17,47.9,70.74,0.11,0,0,5.14,0.1,7.3,18.58,3.1,1745.29,131.06,121.61,0,0,292.2,0.07,18.66,2,1.01,0.02,0.48,0,0.87,196.15,301.77,14655
11,0,468.92,721.41,2380.65,0,247.23,380.36,1255.19,0,191.81,295.09,973.81,0.0203,0.0069,0.0018,0.0005,0.0001,23303.67,7883.91,2073.86,558.56,195.58,33925.07,34015.58,90.51,895.37,1193.78,688.75,3318.3,6001.08,1.31,3.39,-0.11,3187.5,11.46,3216.53,14.33,31.91,32.24,165.72,45.04,64.65,0.96,0.17,0,4.18,0.09,5.55,18.32,3.41,1401.17,119.32,184.9,18.45,33,551.3,57.13,13.86,2,1.01,0.01,0.59,0,0,166.73,256.5,11765.83
12,0,961.94,1479.91,4883.69,0,670.65,1031.77,3404.85,0,528.16,812.55,2681.42,0.0218,0.0068,0.0018,0.0005,0.0001,25120.5,7844.86,2065.38,556.77,194.97,34015.57,35782.47,1766.89,2643.55,1165.8,1250.89,3843.65,7136.09,1.06,0,-0.13,3216.53,14.33,3300.49,12.08,81.71,64.77,211.37,109.2,149.26,0.61,0,0,8.27,0.11,11.44,20.68,4.45,1383.61,274.43,220,10.64,0,544.3,32.49,13.4,2,1.02,0.04,0.55,0,0,490.3,754.31,15400.28
13,0.36,1230.68,1893.35,6241.24,0.29,830.51,1277.71,4210.99,0.22,716.43,1102.19,3633.02,0.0237,0.0068,0.0018,0.0005,0.0001,27222.26,7801.47,2051.74,550.42,188.52,35782.47,37814.39,2031.92,4256.2,1381.88,936.89,4704.61,9245.46,2.41,0,-0.19,3300.49,12.08,3417.86,23.68,128.97,43.82,281.9,146.72,179.02,0.5,0,0,4.2,0.12,5.16,18.93,3.21,1499.94,327.91,198.42,11.77,0,645,35.83,16.44,2,1,0.04,0.44,0,0.3,795.69,1224.14,20731.08
14,0.06,542.39,834.44,2753.5,0,212.1,326.31,1076.81,0,181.39,279.05,920.88,0.0229,0.0068,0.0018,0.0005,0.0001,26296.23,7765.11,2042.85,552.69,195.13,37814.39,36852.01,-962.39,2086.1,1477.67,936.89,4995.32,10458.5,0.12,0,-0.25,3417.86,23.68,3467.05,37.15,62.66,43.81,232.26,41.65,76.34,0.41,0,0,5.4,0.14,6.09,21.83,7.08,1611.97,139.3,198.5,0,0,337.5,0.07,16.93,2,1.01,0.02,0.57,0,0.02,114.13,175.59,16049.5
15,0,371.13,570.97,1884.21,0,116.99,179.99,593.97,0,64.18,98.74,325.83,0.022,0.0067,0.0018,0.0005,0.0001,25348.42,7743.03,2034.42,549.72,194.34,36852.01,35869.94,-982.07,169.26,1090.79,682.64,3677.16,6602.11,0.07,0,-0.23,3467.05,37.15,3454.6,40.16,-9.44,31.91,133.01,21.02,51.7,0.43,0,0,6.44,0.13,8.22,21.56,11.17,1611,94,159.5,0,0,284.5,0.07,16.23,2,1.01,0.01,0.58,0,0,19.95,30.7,11951.01
16,30.75,863.3,1328.15,4415.52,20,505.92,778.33,2589.91,18.53,405.46,623.78,2079.03,0.0242,0.0067,0.0018,0.0005,0.0001,27869.15,7712.39,2028.32,550.16,196.88,35869.94,38356.91,2486.96,2995.43,1226.76,805.94,3157.63,5696.61,1.93,0.42,-0.16,3454.6,40.16,3538.95,12.2,56.38,43.92,228.03,109.99,123.26,0.54,0.02,0,16.61,0.13,23.42,23.58,3.34,1335.36,257.61,233.03,6.47,4,645.6,3.4,12.66,2,1.01,0.02,0.53,0,23.55,551.29,848.15,15092.19
17,0.06,314.31,483.56,1595.57,0,109.72,168.8,557.01,0,63.41,97.56,321.94,0.023,0.0067,0.0018,0.0005,0.0001,26414.64,7678.48,2018.26,545.33,191.4,38356.9,36848.12,-1508.79,745,1030.75,936.89,3456.56,7678.17,0.1,0,-0.26,3538.95,12.2,3535.82,40.1,24.77,43.77,141.95,20.99,46.55,0.48,0,0,4.08,0.15,4.01,22.86,4.79,1618.96,89.21,203.75,0,0,337.5,0.05,17.12,2,1.01,0.01,0.58,0,0.01,5.87,9.03,11193.61
18,0,351.95,541.47,1786.85,0,79.39,122.14,403.07,0,37.11,57.09,188.41,0.0223,0.0067,0.0017,0.0005,0.0001,25694.99,7660.72,2009.63,543.29,190.9,36848.12,36099.53,-748.59,81.76,776.44,548.33,2621.41,4776.73,0.06,0,-0.24,3535.82,40.1,3506.63,41.72,-27.57,25.61,93.48,17.64,47.35,0.47,0,0,7.37,0.13,9.58,21.83,10.88,1611.6,87.97,163.59,0,0,287.8,0.05,15.99,2,1.01,0.01,0.58,0,0,3.12,4.8,8772.33
19,30.05,849.61,1307.1,4345.16,19.19,501.08,770.89,2564.37,13.95,391.61,602.48,2002.25,0.0245,0.0066,0.0017,0.0005,0.0001,28185.66,7633.36,2004.12,543.51,193.73,36099.53,38560.38,2460.84,3019.45,1004.37,472.12,2531.08,4564.43,1.52,0.39,-0.16,3506.63,41.72,3574.87,12.12,38.64,22.04,202.32,108.94,120,0.52,0.02,0,14.71,0.12,20.89,20.74,3,1341.39,249.76,245.75,5.5,4.23,649.2,2.1,12.81,2,1.01,0.02,0.51,0,21,516.42,794.49,13182.53