Year ,site,practice,GrainC1,LeafC1,StemC1,RootC1,GrainC2,LeafC2,StemC2,RootC2,GrainC3,LeafC3,StemC3,RootC3,%SOC_10cm,%SOC_20cm,%SOC_30cm,%SOC_40cm,%SOC_50cm,kgSOC_10cm,kgSOC_20cm,kgSOC_30cm,kgSOC_40cm,kgSOC_50cm,IniSOC     ,End_SOC    ,dSOC       ,GWP,CO2_GWP,CH4_GWP,N2O_GWP,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2,Leach_C    ,Runoff_C   ,CH4,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3,Runoff_SON ,Leach_DON  ,N2O_flux,NO_flux    ,N2_flux,NH3_flux,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
6,sd,trees,0,444.09,444.09,355.27,127.65,118.65,118.65,197.75,0,0,0,0,0.0147,0.0073,0.0021,0.0006,0.0002,16860.8,8403.17,2463.21,735,280.92,28519.39,28743.1,223.71,-637.6497383,-818.7961669,0,181.1464286,526.29,54.28,936.89,543.41,1837.08,0.07,0,0,2770.58,4.79,2790.26,5.09,19.97,0,0,39.92,21.19,7.31,26.71,0.15,0,0,0.29,0.02,0.43,15.52,2.43,1288.92,163.27,302.37,0,0,0,539.8,0.07,14.35,2,1,0.07,0.52,0,660.7,694.15,694.15,1718.12,0
7,sd,trees,0,456.26,456.26,365.01,128.95,120.11,120.11,200.19,0,0,0,0,0.0149,0.0073,0.0021,0.0006,0.0002,17122.45,8371.88,2454.57,733.58,282.02,28743.1,28964.5,221.4,-579.2235284,-810.3413855,0,231.1178571,575.92,55.58,936.89,624.67,1971.62,0.08,0,0,2790.26,5.09,2809.63,5.38,19.66,0,0,39.81,22.73,7.41,27.6,0.16,0,0,0.37,0.02,0.54,16.14,2.44,1288.9,163.1,302.36,0,0,0,539.8,0.07,14.35,2,1,0.07,0.53,0,774.14,810.49,810.49,1935.06,0
8,sd,trees,0,460.58,460.58,368.46,129.72,124.99,124.99,208.31,0,0,0,0,0.0151,0.0073,0.0021,0.0006,0.0002,17372.77,8340.97,2446.07,732.15,283.02,28964.5,29174.97,210.47,-495.4938701,-770.3367272,0,274.8428571,616.87,56.81,936.89,707.86,2107.88,0.08,0,0,2809.63,5.38,2828.51,5.67,19.18,0,0,39.71,24.02,7.39,28.33,0.18,0,0,0.44,0.02,0.64,16.76,2.46,1288.89,164.8,300.76,0,0,0,539.8,0.07,14.35,2,1,0.07,0.53,0,888.32,928.46,928.46,2155.55,0
9,sd,trees,0,467.18,467.18,373.74,130.34,128.83,128.83,214.71,0,0,0,0,0.0153,0.0072,0.0021,0.0006,0.0002,17615.52,8310.43,2437.69,730.7,283.92,29174.97,29378.26,203.29,-425.4895063,-744.0573634,0,318.5678571,652.64,57.79,936.89,793.14,2237.1,0.08,0,0,2828.51,5.67,2846.84,5.96,18.61,0,0,39.62,25.13,7.42,29.09,0.19,0,0,0.51,0.02,0.73,17.33,2.47,1288.88,166.09,299.64,0,0,0,539.8,0.07,14.35,2,1,0.07,0.53,0,1003.1,1049.9,1049.9,2381.57,0
10,sd,trees,0,490.38,490.38,392.31,130.96,124.55,124.55,207.58,0,0,0,0,0.0155,0.0072,0.0021,0.0006,0.0002,17866.38,8280.18,2429.38,729.18,284.66,29378.26,29589.79,211.53,-418.1699819,-774.2164105,0,356.0464286,701.86,59.11,936.89,878.99,2365.26,0.09,0,0,2846.84,5.96,2865.1,6.23,18.54,0,0,39.55,26.65,7.66,30.01,0.2,0,0,0.57,0.02,0.82,17.89,2.48,1288.85,166.82,298.78,0,0,0,539.8,0.07,14.35,2,1,0.07,0.53,0,1118.51,1171.21,1171.21,2611.06,0
11,sd,trees,0,494.82,494.82,395.86,131.57,127.88,127.88,213.14,0,0,0,0,0.0157,0.0072,0.0021,0.0006,0.0002,18103,8250.22,2421.12,727.65,285.33,29589.79,29787.33,197.54,-323.2404833,-723.0119119,0,399.7714286,737.24,60.71,936.89,965.46,2502.67,0.09,0,0,2865.1,6.23,2882.97,6.52,18.15,0,0,39.49,27.82,7.65,30.65,0.22,0,0,0.64,0.03,0.91,18.4,2.5,1288.84,168.03,297.37,0,0,0,539.8,0.07,14.35,2,1,0.07,0.53,0,1234.54,1289.95,1289.95,2839.86,0
12,sd,trees,0,495.43,495.43,396.35,132.44,132.5,132.5,220.83,0,0,0,0,0.0159,0.0071,0.0021,0.0006,0.0002,18325.64,8220.66,2413.03,726.13,285.97,29787.33,29971.42,184.09,-230.2874271,-673.7838557,0,443.4964286,758.29,61.78,936.89,1053,2625.79,0.09,0,0,2882.97,6.52,2900.1,6.78,17.38,0,0,39.42,28.52,7.59,31.24,0.23,0,0,0.71,0.03,1,18.88,2.5,1288.84,169.04,296.34,0,0,0,539.8,0.07,14.35,2,1,0.07,0.53,0,1351.42,1411.41,1411.41,3069.96,0
13,sd,trees,0,496.69,496.69,397.35,133.05,138.6,138.6,230.99,0,0,0,0,0.0161,0.0071,0.0021,0.0006,0.0002,18538.87,8191.47,2405.08,724.63,286.58,29971.42,30146.63,175.2,-154.024329,-641.2457576,0,487.2214286,776.02,62.45,936.89,1143.03,2743.08,0.09,0,0,2900.1,6.78,2916.42,7.03,16.57,0,0,39.34,29.09,7.58,31.85,0.24,0,0,0.78,0.03,1.09,19.33,2.51,1288.84,169.87,295.8,0,0,0,539.8,0.07,14.35,2,1,0.07,0.54,0,1468.9,1538.69,1538.69,3307.22,0
14,sd,trees,0,498.23,498.23,398.59,133.4,143.14,143.14,238.56,0,0,0,0,0.0163,0.0071,0.0021,0.0006,0.0002,18743.71,8162.67,2397.26,723.13,287.16,30146.63,30313.93,167.31,-87.66773807,-612.3677381,0,524.7,792.64,62.9,936.89,1235.73,2860.76,0.1,0,0,2916.42,7.03,2932.05,7.26,15.86,0,0,39.26,29.6,7.58,32.34,0.26,0,0,0.84,0.03,1.18,19.76,2.52,1288.83,171.39,294.44,0,0,0,539.8,0.07,14.35,2,1,0.07,0.54,0,1586.76,1670.18,1670.18,3550.05,0
15,sd,trees,0,498.87,498.87,399.09,134,147.66,147.66,246.1,0,0,0,0,0.0165,0.0071,0.0021,0.0006,0.0002,18940.01,8134.21,2389.58,721.65,287.7,30313.93,30473.15,159.22,-14.3327028,-582.7577028,0,568.425,807.04,63.22,936.89,1330.9,2978.74,0.1,0,0,2932.05,7.26,2946.96,7.49,15.13,0,0,39.18,30.02,7.55,32.81,0.27,0,0,0.91,0.03,1.27,20.14,2.53,1288.83,172.89,293.13,0,0,0,539.8,0.07,14.35,2,1,0.07,0.54,0,1705.27,1805.55,1805.55,3798.95,0
16,sd,trees,0,507.25,507.25,405.8,134.6,150.08,150.08,250.13,0,0,0,0,0.0166,0.007,0.0021,0.0006,0.0002,19136.14,8106.05,2381.97,720.16,288.21,30473.15,30632.54,159.38,22.56025603,-583.3433154,0,605.9035714,828.05,63.62,936.89,1428.61,3097.64,0.1,0,0,2946.96,7.49,2961.41,7.7,14.66,0,0,39.11,30.65,7.65,33.4,0.28,0,0,0.97,0.03,1.35,20.48,2.53,1288.82,172.19,293.62,0,0,0,539.8,0.07,14.35,2,1,0.07,0.54,0,1824.45,1945.5,1945.5,4056.25,0
17,sd,trees,0,511.4,511.4,409.12,134.61,152.86,152.86,254.77,0,0,0,0,0.0168,0.007,0.0021,0.0006,0.0002,19274.59,8078.95,2374.44,718.69,288.7,30632.54,30735.37,102.83,260.7698395,-376.3658748,0,637.1357143,874,64.21,803.05,1528.49,3166.82,0.1,0,0,2961.41,7.7,2972.79,7.55,11.24,0,0,33.44,31.99,7.68,33.85,0.26,0,0,1.02,0.03,1.44,18.99,2.5,1288.8,173.27,293.12,0,0,0,539.8,0.07,14.35,2,1,0.07,0.54,0,1943.7,2094.69,2094.69,4317.95,0
18,sd,trees,0,514.17,514.17,411.34,135.79,153.85,153.85,256.42,0,0,0,0,0.0169,0.007,0.0021,0.0006,0.0002,19480.8,8051.14,2367.06,717.18,289.1,30735.37,30905.27,169.9,40.27408715,-621.8473415,0,662.1214286,875.89,64.75,936.89,1629.18,3336.71,0.1,0,0,2972.79,7.55,2986.79,8.09,14.54,0,0,38.98,32.09,7.71,34.09,0.29,0,0,1.06,0.03,1.45,20.97,2.54,1288.81,173.62,292.14,0,0,0,539.8,0.07,14.35,2,1,0.07,0.54,0,2064.25,2228.6,2228.6,4579.77,0
19,sd,trees,0,514.01,514.01,411.21,136.39,158.53,158.53,264.21,0,0,0,0,0.0171,0.007,0.0021,0.0006,0.0002,19660.21,8023.75,2359.64,715.69,289.51,30905.28,31048.8,143.52,198.917911,-525.29447,-0.373333333,724.5857143,873.49,65.13,936.89,1731.5,3463.35,0.1,0,-0.01,2986.79,8.09,2999.98,8.27,13.36,0,0,38.91,32.06,7.66,34.55,0.31,0,0,1.16,0.04,1.6,21.24,2.54,1288.81,173.59,291.9,0,0,0,539.8,0.07,14.35,2,1,0.06,0.54,0,2185.41,2373.08,2373.08,4847.07,0
20,sd,trees,0,518.26,518.26,414.6,136.98,160.49,160.49,267.49,0,0,0,0,0.0172,0.007,0.002,0.0006,0.0002,19834.27,7996.67,2352.33,714.2,289.88,31048.8,31187.35,138.54,254.6236735,-507.0672789,-0.373333333,762.0642857,885.52,65.45,936.89,1835.7,3584.89,0.11,0,-0.01,2999.98,8.27,3012.71,8.45,12.91,0,0,38.85,32.42,7.7,34.95,0.32,0,0,1.22,0.04,1.67,21.46,2.54,1288.8,174.42,291.12,0,0,0,539.8,0.07,14.35,2,1,0.07,0.54,0,2307.23,2521.09,2521.09,5119.02,0
1,sd,compost,0,1133.97,1133.97,907.17,0,0,0,0,0,0,0,0,0.0139,0.0074,0.0022,0.0006,0.0002,16037.48,8558.56,2502.78,735.6,265.64,27021.44,28100.06,1078.62,-2698.548185,-3947.833899,0,1249.285714,995.65,26.06,626.3,93.13,662.45,0.07,0,0,2677.82,1.21,2709.99,8.16,39.12,0,0,35.6,31.12,22.94,35.15,0.15,0,0,2,0.01,2.95,8.83,3.15,1288.62,59.01,512.45,0,0,0,539.8,19.49,14.35,2,1,0.19,0.48,0,0,299.47,299.47,728.63,0
2,sd,compost,0,1108.14,1108.14,886.51,0,0,0,0,0,0,0,0,0.0143,0.0074,0.0022,0.0006,0.0002,16401.93,8520.17,2490.42,732.62,268.31,28100.06,28413.45,313.39,-940.8998662,-1147.032009,0,206.1321429,846.87,75.05,702.91,236.99,1548.27,0.12,0,0,2709.99,8.16,2740.27,8.95,31.07,0,0,33,32.71,21.36,36.49,0.18,0,0,0.33,0.02,0.49,11.11,3.47,1288.58,61,438.31,0,0,0,539.8,0.06,14.35,2,1,0.18,0.49,0,0,226.4,226.4,1144.37,0
3,sd,compost,0,1068.54,1068.54,854.84,0,0,0,0,0,0,0,0,0.0145,0.0074,0.0022,0.0006,0.0002,16673.54,8480.91,2477.02,728.07,268.3,28413.45,28627.83,214.39,-559.8128064,-784.684235,0,224.8714286,743.92,102.19,659.93,314.5,1606.04,0.12,0,0,2740.27,8.95,2764.28,9.47,24.54,0,0,30.97,33.01,19.96,36.47,0.2,0,0,0.36,0.02,0.54,11.75,3.48,1288.61,60.71,428.09,0,0,0,539.8,0.06,14.35,2,1,0.17,0.49,0,0,211.55,211.55,1359.17,0
4,sd,compost,0,1125.44,1125.44,900.35,0,0,0,0,0,0,0,0,0.0149,0.0073,0.0021,0.0006,0.0002,17136.24,8441.26,2463.93,723.53,266.77,28627.84,29031.73,403.89,-54.08340159,-1478.269116,0,1424.185714,804.4,118.02,965.01,361.6,1845.04,0.13,0,0,2764.28,9.47,2796.36,10.53,33.13,0,0,51.48,36.56,19.85,40.88,0.38,0,0,2.28,0.03,3.32,17.37,3.52,1288.56,67.78,414.92,0,0,0,539.8,0.06,14.35,2,1,0.17,0.5,0,0,232.97,232.97,1520.61,0
5,sd,compost,0,1107.1,1107.1,885.68,0,0,0,0,0,0,0,0,0.0151,0.0073,0.0021,0.0006,0.0002,17361.83,8402.98,2451.26,719.08,265.84,29031.73,29200.99,169.26,-151.0227483,-619.5048912,0,468.4821429,796.65,128.49,663.88,391.25,1810.88,0.13,0,0,2796.36,10.53,2817.76,10.5,21.37,0,0,31.14,37.57,20.24,38.67,0.25,0,0,0.75,0.02,1.09,14.14,3.48,1288.58,63.85,423.88,0,0,0,539.8,0.06,14.35,2,1,0.17,0.5,0,0,226.05,226.05,1602.08,0
6,sd,compost,0,1110.37,1110.37,888.3,0,0,0,0,0,0,0,0,0.0153,0.0073,0.0021,0.0006,0.0002,17599.79,8365.91,2438.94,714.74,265.01,29200.99,29384.4,183.41,-184.0735737,-671.2950023,0,487.2214286,795.86,134.07,659.72,407.41,1813.5,0.13,0,0,2817.76,10.5,2837.03,10.99,19.76,0,0,30.93,38.19,20.12,39.11,0.27,0,0,0.78,0.02,1.13,14.98,3.46,1288.57,64.32,423.41,0,0,0,539.8,0.06,14.35,2,1,0.17,0.5,0,0,227.28,227.28,1651.36,0
7,sd,compost,0,1117.36,1117.36,893.89,0,0,0,0,0,0,0,0,0.0155,0.0072,0.0021,0.0006,0.0002,17832.55,8329.71,2426.94,710.53,263.87,29384.39,29563.6,179.21,-75.00481542,-655.9226725,0,580.9178571,805.43,137.56,660.46,417.54,1841.67,0.13,0,0,2837.03,10.99,2854.9,11.41,18.29,0,0,30.95,38.85,20.08,39.68,0.29,0,0,0.93,0.03,1.34,15.81,3.45,1288.57,65.01,421.76,0,0,0,539.8,0.06,14.35,2,1,0.17,0.5,0,0,229.92,229.92,1684.45,0
8,sd,compost,0,1186.09,1186.09,948.87,0,0,0,0,0,0,0,0,0.0159,0.0072,0.0021,0.0006,0.0002,18260.09,8292.98,2415.15,706.44,261.83,29563.6,29936.48,372.88,452.9406335,-1364.770081,0,1817.710714,893.01,141.39,976.05,430.3,2067.74,0.14,0,0,2854.9,11.41,2882.59,12.39,28.67,0,0,51.95,41.74,20.25,44.37,0.5,0,0,2.91,0.03,4.21,20.48,3.48,1288.51,72.39,409.87,0,0,0,539.8,0.06,14.35,2,1,0.17,0.51,0,0,255.78,255.78,1748.43,0
9,sd,compost,0,1167.63,1167.63,934.1,0,0,0,0,0,0,0,0,0.016,0.0072,0.0021,0.0006,0.0002,18445.3,8257.28,2403.66,702.42,260.9,29936.48,30069.56,133.08,324.9524642,-487.0832501,0,812.0357143,888.64,145.28,677.42,441.07,2019.22,0.14,0,0,2882.59,12.39,2900,12.27,17.3,0,0,31.73,42.06,20.73,41.96,0.35,0,0,1.3,0.03,1.85,17.46,3.44,1288.53,68.19,419.56,0,0,0,539.8,0.06,14.35,2,1,0.17,0.5,0,0,248.8,248.8,1773.41,0
10,sd,compost,0,1167.28,1167.28,933.83,0,0,0,0,0,0,0,0,0.0162,0.0071,0.0021,0.0006,0.0002,18642.04,8222.56,2392.4,698.48,259.94,30069.56,30215.41,145.85,284.45969,-533.8224529,0,818.2821429,883.08,146.96,673.31,445.83,2003.18,0.14,0,0,2900,12.27,2915.61,12.69,16.03,0,0,31.52,42.08,20.59,42.18,0.36,0,0,1.31,0.03,1.87,17.97,3.43,1288.53,68.3,418.85,0,0,0,539.8,0.06,14.35,2,1,0.17,0.5,0,0,248.69,248.69,1787.65,0
11,sd,compost,0,1171.38,1171.38,937.1,0,0,0,0,0,0,0,0,0.0164,0.0071,0.0021,0.0006,0.0002,18835.98,8188.54,2381.33,694.63,258.87,30215.42,30359.35,143.94,378.90044,-526.8317029,0,905.7321429,888.11,148.02,673.24,448.97,2014.24,0.14,0,0,2915.61,12.69,2930.11,13.05,14.85,0,0,31.51,42.33,20.53,42.58,0.38,0,0,1.45,0.03,2.06,18.49,3.41,1288.52,68.67,418.06,0,0,0,539.8,0.06,14.35,2,1,0.17,0.5,0,0,250.22,250.22,1798.55,0
12,sd,compost,0,1240.48,1240.48,992.39,0,0,0,0,0,0,0,0,0.0167,0.0071,0.0021,0.0006,0.0001,19231.6,8153.97,2370.33,690.87,256.92,30359.35,30703.69,344.34,919.6921316,-1260.311439,0,2180.003571,975.44,150.36,988.14,457.33,2226.79,0.15,0,0,2930.11,13.05,2954.84,13.97,25.65,0,0,52.47,45.04,20.69,47.27,0.62,0,0,3.49,0.04,5.01,22.48,3.44,1288.47,75.95,406.47,0,0,0,539.8,0.06,14.35,2,1,0.17,0.51,0,0,276.23,276.23,1849.95,0
13,sd,compost,0,1219.7,1219.7,975.76,0,0,0,0,0,0,0,0,0.0169,0.0071,0.0021,0.0006,0.0001,19386.82,8120.21,2359.57,687.14,256,30703.69,30809.74,106.05,729.9593864,-388.1513276,0,1118.110714,968.54,153.35,689.46,465.48,2170.63,0.15,0,0,2954.84,13.97,2969.59,13.77,14.55,0,0,32.24,45.18,21.21,44.63,0.44,0,0,1.79,0.04,2.53,19.62,3.4,1288.48,71.44,416.35,0,0,0,539.8,0.06,14.35,2,1,0.17,0.51,0,0,268.39,268.39,1866.13,0
14,sd,compost,0,1218.63,1218.63,974.9,0,0,0,0,0,0,0,0,0.017,0.007,0.002,0.0006,0.0001,19556.88,8087.27,2348.99,683.47,255.17,30809.74,30931.78,122.03,677.7177606,-446.6393824,0,1124.357143,961.48,154.42,684.84,468.49,2147.03,0.15,0,0,2969.59,13.77,2982.8,14.12,13.57,0,0,32.02,45.09,21.1,44.75,0.45,0,0,1.8,0.04,2.53,19.93,3.39,1288.48,71.37,416.17,0,0,0,539.8,0.06,14.35,2,1,0.17,0.51,0,0,267.98,267.98,1874.79,0
15,sd,compost,0,1221.85,1221.85,977.48,0,0,0,0,0,0,0,0,0.0172,0.007,0.002,0.0006,0.0001,19727.56,8054.89,2338.56,679.85,254.12,30931.78,31054.97,123.2,742.1461827,-450.9216743,0,1193.067857,965.17,155.08,684.6,470.41,2151.88,0.15,0,0,2982.8,14.12,2995.16,14.42,12.65,0,0,32,45.25,21.04,45.07,0.47,0,0,1.91,0.04,2.68,20.28,3.37,1288.48,71.61,415,0,0,0,539.8,0.06,14.35,2,1,0.17,0.51,0,0,269.21,269.21,1881.91,0
16,sd,compost,0,1289.84,1289.84,1031.87,0,0,0,0,0,0,0,0,0.0175,0.007,0.002,0.0006,0.0001,20101.85,8021.91,2328.11,676.3,252.26,31054.98,31380.44,325.46,1313.235367,-1191.209157,-0.373333333,2504.817857,1050.88,157.14,999.32,477.86,2359.6,0.16,0,-0.01,2995.16,14.42,3018.04,15.29,23.75,0,0,52.95,47.87,21.19,49.69,0.73,0,0,4.01,0.05,5.7,23.81,3.4,1288.43,78.66,403.93,0,0,0,539.8,0.06,14.35,2,1,0.17,0.51,0,0,294.79,294.79,1930.38,0
17,sd,compost,0,1267.93,1267.93,1014.35,0,0,0,0,0,0,0,0,0.0177,0.0069,0.002,0.0006,0.0001,20325.66,7990.2,2317.87,672.79,251.27,31380.44,31557.79,177.36,737.1822824,-649.1515273,-0.373333333,1386.707143,1222.65,159.9,566.37,485.36,2256.77,0.16,0,-0.01,3018.04,15.29,3032.55,14.06,13.27,0,0,26.45,52.98,21.73,46.93,0.47,0,0,2.22,0.04,3.12,19.46,3.34,1288.38,74.02,413.68,0,0,0,539.8,0.06,14.35,2,1,0.17,0.51,0,0,340.83,340.83,1944.14,0
18,sd,compost,0,1271.52,1271.52,1017.22,0,0,0,0,0,0,0,0,0.0178,0.0069,0.002,0.0006,0.0001,20447.16,7958.12,2307.62,669.29,249.84,31557.79,31632.02,74.22,1014.366591,-271.6510281,-0.746666667,1286.764286,1082.5,160.92,726.52,488.3,2383.85,0.16,0,-0.02,3032.55,14.06,3046.56,15.31,15.27,0,0,33.92,49.16,21.8,47.02,0.53,0,0,2.06,0.05,2.84,21.37,3.36,1288.44,73.9,411.48,0,0,0,539.8,0.06,14.35,2,1,0.17,0.51,0,0,287.88,287.88,1954.44,0
19,sd,compost,0,1282.95,1282.95,1026.36,0,0,0,0,0,0,0,0,0.0179,0.0069,0.002,0.0006,0.0001,20604.21,7926.81,2297.6,665.84,249.24,31632.02,31743.69,111.67,1039.703793,-408.7209689,-0.746666667,1449.171429,1056.22,161.88,696.22,491.44,2293.92,0.16,0,-0.02,3046.56,15.31,3058.04,15.61,11.77,0,0,32.5,48.52,21.88,47.66,0.55,0,0,2.32,0.05,3.2,21.52,3.34,1288.43,74.64,414.16,0,0,0,539.8,0.06,14.35,2,1,0.17,0.51,0,0,292.16,292.16,1967.85,0
20,sd,compost,0,1338.95,1338.95,1071.16,0,0,0,0,0,0,0,0,0.0182,0.0069,0.002,0.0006,0.0001,20957.08,7894.95,2287.54,662.45,247.4,31743.69,32049.41,305.72,1684.567222,-1118.959207,-1.12,2804.646429,1129.28,164.09,1012.69,498.97,2499.17,0.16,0,-0.03,3058.04,15.61,3079.93,16.47,22.75,0,0,53.53,50.8,21.77,51.93,0.83,0,0,4.49,0.05,6.32,24.8,3.36,1288.39,81.04,401.91,0,0,0,539.8,0.06,14.35,2,1,0.17,0.52,0,0,313.25,313.25,2012.15,0